institution name	HD2018.City location of institution	HD2018.State abbreviation	HD2018.Level of institution	HD2018.Control of institution	HD2018.Highest level of offering	HD2018.Highest degree offered	HD2018.Institution has hospital	HD2018.Historically Black College or University	HD2018.Tribal college	IC2018.Open admission policy	HD2018.Degree of urbanization (Urban-centric locale)	Setting	HD2018.Longitude location of institution	HD2018.Latitude location of institution	HD2018.Data Feedback Report comparison group created by NCES	HD2018.Carnegie Classification 2018: Size and Setting	Size	IC2018.Calendar system	isIvy	State;HBC;Tribal;Ivy	Tuition	Tuition (in-state)	Description	Undergrad Enrollment
National American University Albuquerque West	Albuquerque	New Mexico	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Large	City	-106.653498	35.199884	"Schools of business and management, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Shaarei Torah of Rockland	Suffern	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.090159	41.12362	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Nevada State College	Henderson	Nevada	Four or more years	Public	Bachelor's degree	Bachelor's degree	No	No	No	No	Rural: Fringe	Rural	-114.938044	35.982345	"Baccalaureate Colleges--Diverse Fields, public/1 of 3"	"Four-year, small, primarily nonresidential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Franklin W Olin College of Engineering	Needham	Massachusetts	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-71.263378	42.293527	Schools of engineering	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
National American University Overland Park	Overland Park	Kansas	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Midsize	City	-94.703885	38.941097	"Other health professions schools, private for-profit/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
West Coast University Los Angeles	North Hollywood	California	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-118.39941	34.187134	"Other health professions schools, private for-profit/1 of 2"	"Four-year, small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Baptist University of the Americas	San Antonio	Texas	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Large	City	-98.546081	29.34998	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Flagler College Tallahassee	Tallahassee	Florida	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	Not applicable	No	No	Not applicable	City: Midsize	City	-84.339	30.443866	"Schools of business and management, private not-for-profit"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Phoenix New Jersey	Jersey City	New Jersey	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Not applicable	City: Large	City	-74.033131	40.726763	"Schools of business and management, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Neumont College of Computer Science	Salt Lake City	Utah	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-111.890573	40.766096	Other technology-related schools	"Four-year, very small, highly residential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Johnson & Wales University Charlotte	Charlotte	North Carolina	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	Not applicable	No	No	No	City: Large	City	-80.851208	35.233502	"Baccalaureate/Associates Colleges, private not-for-profit and private for profit"	"Four-year, small, highly residential"	small	Quarter	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Uta Mesivta of Kiryas Joel	Monroe	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	Suburb: Large	Suburb	-74.161179	41.333864	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Stevens Henager College	Logan	Utah	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Small	City	-111.835961	41.718039	"Baccalaureate/Associates Colleges, private not-for-profit and private for profit"	"Four-year, very small, primarily nonresidential"	small	Other academic year	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
SAE Expression College	Emeryville	California	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	Suburb: Large	Suburb	-122.2954	37.847631	"Special Focus--Schools of art, music, and design, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Georgia Gwinnett College	Lawrenceville	Georgia	Four or more years	Public	Bachelor's degree	Bachelor's degree	No	No	No	Yes	Suburb: Large	Suburb	-84.00459	33.979409	"Baccalaureate Colleges--Diverse Fields, public/1 of 3"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Careers Unlimited	Orem	Utah	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Not applicable	City: Small	City	-111.731006	40.275775	"Other health professions schools, private for-profit/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Differs by program	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Bais Medrash Toras Chesed	Lakewood	New Jersey	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Small	City	-74.21127	40.099704	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshivas Be'er Yitzchok	Elizabeth	New Jersey	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.213255	40.682465	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Toras Chaim	Lakewood	New Jersey	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.182143	40.098692	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Talmudical Seminary of Bobov	Brooklyn	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-73.995378	40.634485	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
The Art Institute of Austin	Austin	Texas	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Midsize	City	-97.675263	30.479036	"Special Focus--Schools of art, music, and design, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
The King's College	New York	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-74.012342	40.706677	"Baccalaureate Colleges--Arts & Sciences, private not-for-profit/7 of 7"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Ohio	Columbus	Ohio	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-82.940493	39.940449	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Arizona	Phoenix	Arizona	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-112.104421	33.56573	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva of Machzikai Hadas	Brooklyn	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-73.987855	40.638194	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Providence Christian College	Pasadena	California	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-118.118842	34.172467	"Baccalaureate Colleges--Arts & Sciences, private not-for-profit/7 of 7"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Minnesota Rochester	Rochester	Minnesota	Four or more years	Public	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-92.463471	44.022339	"Other health professions schools, public"	"Four-year, very small, highly residential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Florida	Jacksonville	Florida	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-81.586421	30.243517	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Horizon University	Indianapolis	Indiana	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	Suburb: Large	Suburb	-85.986809	39.894654	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Trimester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Bethel College	Hampton	Virginia	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Midsize	City	-76.409526	37.04127	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
West Coast University Ontario	Ontario	California	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	Not applicable	No	No	No	City: Midsize	City	-117.590035	34.066591	"Other health professions schools, private for-profit/1 of 2"	"Four-year, small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
The Art Institute of Virginia Beach	Virginia Beach	Virginia	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Large	City	-76.131737	36.842383	"Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
The Art Institute of San Antonio	San Antonio	Texas	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Large	City	-98.56556	29.532925	"Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Compass College of Cinematic Arts	Grand Rapids	Michigan	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-85.667065	42.961875	"Special Focus--Schools of art, music, and design, public or private not-for-profit/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Virginia	Arlington	Virginia	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-77.050273	38.852326	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Carolina College of Biblical Studies	Fayetteville	North Carolina	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Midsize	City	-78.939514	35.05141	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Connecticut Hartford Campus	Hartford	Connecticut	Four or more years	Public	Bachelor's degree	Bachelor's degree	Not applicable	No	No	No	City: Midsize	City	-72.672175	41.762673	"Baccalaureate Colleges--Diverse Fields, public/2 of 3"	"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"	not in Carnegie universe (not accredited or nondegree-granting)	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Missouri	St. Louis	Missouri	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-90.436283	38.701907	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Texas	Houston	Texas	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-95.560414	29.838386	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Whitworth University Adult Degree Programs	Spokane	Washington	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-117.411568	47.751642	"Baccalaureate Colleges--Diverse Fields, private not-for-profit/7 of 7"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Beverly Hills Design Institute	Beverly Hills	California	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-118.375621	34.06463	"Special Focus--Schools of art, music, and design, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Quarter	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Georgia	Atlanta	Georgia	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-84.351949	33.911943	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Indiana	Indianapolis	Indiana	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-86.111061	39.91916	"Other health professions schools, private for-profit/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Bais HaMedrash and Mesivta of Baltimore	Baltimore	Maryland	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-76.674414	39.379528	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Gedolah Zichron Leyma	Union	New Jersey	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.268351	40.6992	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Be'er Yaakov Talmudic Seminary	Spring Valley	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.028425	41.13905	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Gemini School of Visual Arts & Communication	Cedar Park	Texas	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-97.846121	30.50915	"Special Focus--Schools of art, music, and design, private for-profit"	"Four-year, very small, primarily nonresidential"	small	Differs by program	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Mid South Christian College	Memphis	Tennessee	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-89.911799	35.064172	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Gedolah Kesser Torah	Monsey	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.068553	41.124819	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Yesodei Hatorah	Lakewood	New Jersey	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.202016	40.065908	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Antioch College	Yellow Springs	Ohio	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Town: Fringe	Town	-83.888077	39.799806	"Baccalaureate Colleges--Arts & Sciences, private not-for-profit/7 of 7"	"Four-year, very small, highly residential"	small	Quarter	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Florida Online	Gainesville	Florida	Four or more years	Public	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-82.339848	29.649413	"Baccalaureate Colleges--Diverse Fields, public/1 of 3"	"Four-year, small, primarily nonresidential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Rabbinical College Ohr Yisroel	Brooklyn	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	City: Large	City	-73.896524	40.629707	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
West Coast University Miami	Doral	Florida	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-80.347651	25.81071	"Other health professions schools, private for-profit/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Antioch University Online	Yellow Springs	Ohio	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	Not applicable	No	No	Not applicable	Rural: Fringe	Rural	-83.908684	39.80321	"Non-Title IV, private not-for-profit, degree-granting"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Bet Medrash Gadol Ateret Torah	Brooklyn	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-73.969945	40.607809	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Gedola Ohr Yisrael	Brooklyn	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-73.944041	40.61359	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Sholom Shachna	Brooklyn	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-73.973431	40.6275	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Beth Medrash Meor Yitzchok	Monsey	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.060843	41.100906	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
California Jazz Conservatory	Berkeley	California	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Midsize	City	-122.268878	37.871235	"Special Focus--Schools of art, music, and design, public or private not-for-profit/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Nevada	Las Vegas	Nevada	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-115.313525	36.185176	"Other health professions schools, private for-profit/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University Michigan	Troy	Michigan	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Small	City	-83.150516	42.556474	"Other health professions schools, private for-profit/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University New Jersey	North Brunswick	New Jersey	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.438877	40.465934	"Degree-granting with no Carnegie classification, highest degree - Bachelor's, private for-profit"	"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"	not in Carnegie universe (not accredited or nondegree-granting)	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Arizona College Las Vegas	Las Vegas	Nevada	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-115.171331	36.1456	"Degree-granting with no Carnegie classification, highest degree - Bachelor's, private for-profit"	"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"	not in Carnegie universe (not accredited or nondegree-granting)	Other academic year	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Zichron Aryeh	Far Rockaway	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-73.764423	40.606105	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Central Yeshiva Beth Joseph	Brooklyn	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Not applicable	City: Large	City	-73.959386	40.615411	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, primarily nonresidential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshivas Maharit D'Satmar	Monroe	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	Suburb: Large	Suburb	-74.159642	41.33127	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Beth Medrash of Asbury Park	Lakewood	New Jersey	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	Suburb: Large	Suburb	-74.210816	40.043705	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Saint Katherine	San Marcos	California	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	Suburb: Large	Suburb	-117.196552	33.151283	"Degree-granting with no Carnegie classification, highest degree - Bachelor's, private not-for-profit"	"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"	not in Carnegie universe (not accredited or nondegree-granting)	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University North Carolina	Charlotte	North Carolina	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Large	City	-80.931971	35.13766	"Degree-granting with no Carnegie classification, highest degree - Bachelor's, private for-profit"	"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"	not in Carnegie universe (not accredited or nondegree-granting)	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Chamberlain University California	Rancho Cordova	California	Four or more years	Private for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Small	City	-121.278258	38.596193	"Degree-granting with no Carnegie classification, highest degree - Bachelor's, private for-profit"	"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"	not in Carnegie universe (not accredited or nondegree-granting)	Semester	No	Private for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Shaar Ephraim	Monsey	New York	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	Yes	Suburb: Large	Suburb	-74.060858	41.116935	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/1 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Yeshiva Bais Aharon	Lakewood	New Jersey	Four or more years	Private not-for-profit	Bachelor's degree	Bachelor's degree	No	No	No	No	City: Small	City	-74.203094	40.101002	"Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2"	"Four-year, very small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
